session_date,client_id,traffic_source,device_type,session_duration_seconds,scrolled_down,clicked_download_syllabus
01/02/2024,2963938918,Paid Ads,Mobile,18,0,0
01/07/2024,5164129138,Paid Ads,Mobile,16,0,0
01/04/2024,2712922743,Direct,Desktop,6,0,0
01/04/2024,1347346749,Organic Search,Desktop,16,0,0
01/07/2024,1249939585,Organic Search,Desktop,26,0,1
01/06/2024,2899888367,Direct,Mobile,77,1,0
01/05/2024,5698150005,Paid Ads,Mobile,18,0,0
01/05/2024,8430462301,Paid Ads,Desktop,22,0,0
01/06/2024,1516103253,Paid Ads,Desktop,13,0,0
01/04/2024,5689241307,Direct,Mobile,20,0,0
01/04/2024,2337509982,Organic Search,Mobile,17,0,0
01/04/2024,8573592537,Paid Ads,Mobile,7,0,0
01/02/2024,8085724005,Paid Ads,Desktop,17,0,0
01/04/2024,9371517173,Paid Ads,Mobile,7,0,0
01/03/2024,6415496884,Paid Ads,Mobile,9,0,0
01/01/2024,9304045715,Organic Search,Mobile,90,1,0
01/04/2024,3316608503,Organic Search,Desktop,92,1,0
01/06/2024,4724591068,Direct,Desktop,16,0,0
01/01/2024,4484095420,Organic Search,Mobile,103,1,0
01/02/2024,3798105768,Paid Ads,Desktop,17,0,0
01/06/2024,1921653260,Organic Search,Desktop,5,0,0
01/01/2024,3816307290,Direct,Mobile,76,1,1
01/06/2024,6757938686,Organic Search,Mobile,23,0,0
01/02/2024,3130464646,Direct,Mobile,19,0,0
01/03/2024,5022873162,Organic Search,Desktop,9,0,0
01/02/2024,5155726844,Organic Search,Mobile,59,1,0
01/02/2024,7113761124,Organic Search,Desktop,2,0,0
01/06/2024,4142403171,Paid Ads,Desktop,13,0,0
01/07/2024,7708166367,Paid Ads,Mobile,11,0,0
01/05/2024,3919911094,Paid Ads,Desktop,15,0,0
01/04/2024,2023216482,Organic Search,Mobile,12,0,0
01/04/2024,3294919025,Paid Ads,Mobile,91,1,0
01/03/2024,6573300620,Organic Search,Desktop,1,0,0
01/03/2024,4638452115,Direct,Desktop,11,0,0
01/04/2024,9947638415,Paid Ads,Mobile,12,0,0
01/05/2024,3378136499,Organic Search,Desktop,20,0,0
01/04/2024,4998310069,Direct,Desktop,9,0,0
01/07/2024,9829899385,Paid Ads,Mobile,108,1,0
01/05/2024,9455295727,Paid Ads,Desktop,28,0,0
01/03/2024,4601247461,Paid Ads,Mobile,1,0,0
01/01/2024,6998572937,Paid Ads,Mobile,102,1,0
01/06/2024,5924630209,Direct,Mobile,25,0,0
01/07/2024,2001706917,Direct,Desktop,92,1,0
01/07/2024,3542142765,Organic Search,Desktop,85,1,0
01/03/2024,2623444332,Direct,Mobile,13,0,0
01/03/2024,6713391122,Direct,Mobile,98,1,1
01/02/2024,8477425811,Paid Ads,Desktop,21,0,0
01/07/2024,4196364710,Direct,Mobile,80,1,0
01/02/2024,2020082524,Organic Search,Desktop,15,0,0
01/02/2024,1356015513,Direct,Desktop,24,0,0
01/06/2024,8740000313,Direct,Mobile,11,0,0
01/02/2024,1186404944,Paid Ads,Desktop,6,0,0
01/05/2024,2086584484,Paid Ads,Mobile,26,0,0
01/04/2024,1931188017,Paid Ads,Desktop,94,1,0
01/01/2024,3993270326,Organic Search,Desktop,95,1,0
01/03/2024,4930987467,Direct,Desktop,14,0,0
01/05/2024,6280210236,Direct,Mobile,16,0,0
01/01/2024,2116476132,Paid Ads,Desktop,24,0,0
01/07/2024,2201575112,Organic Search,Mobile,6,0,1
01/07/2024,1572025741,Organic Search,Mobile,100,1,0
01/07/2024,5039553414,Paid Ads,Mobile,19,0,0
01/05/2024,5650369034,Paid Ads,Mobile,117,1,0
01/05/2024,1707957764,Paid Ads,Mobile,10,0,0
01/03/2024,3063173777,Direct,Desktop,13,0,1
01/04/2024,4219414298,Paid Ads,Desktop,15,0,0
01/02/2024,1272781217,Organic Search,Mobile,2,0,1
01/07/2024,1058720661,Organic Search,Desktop,93,1,1
01/06/2024,3294999749,Paid Ads,Mobile,8,0,0
01/04/2024,3513198102,Direct,Desktop,25,0,0
01/06/2024,4251638986,Direct,Desktop,22,0,0
01/03/2024,2035451477,Paid Ads,Mobile,84,1,1
01/03/2024,6374904320,Organic Search,Desktop,14,0,0
01/03/2024,9066896320,Paid Ads,Mobile,16,0,1
01/01/2024,7434570490,Paid Ads,Mobile,12,0,0
01/06/2024,8865680643,Paid Ads,Desktop,25,0,0
01/04/2024,1379710430,Organic Search,Mobile,13,0,0
01/04/2024,3533841296,Organic Search,Mobile,16,0,0
01/05/2024,8752607819,Paid Ads,Mobile,24,0,0
01/05/2024,7906684722,Paid Ads,Desktop,8,0,0
01/07/2024,7677882191,Direct,Mobile,27,0,0
01/05/2024,7231612896,Paid Ads,Mobile,89,1,0
01/03/2024,8597443857,Paid Ads,Desktop,72,1,0
01/04/2024,2492129217,Organic Search,Desktop,83,1,0
01/06/2024,2976196759,Direct,Mobile,2,0,0
01/03/2024,5179477152,Paid Ads,Mobile,28,0,0
01/01/2024,6256391730,Organic Search,Mobile,12,0,0
01/05/2024,1136600085,Direct,Mobile,13,0,0
01/03/2024,3295331460,Paid Ads,Mobile,1,0,0
01/03/2024,9135601198,Organic Search,Desktop,11,0,0
01/01/2024,6712733913,Paid Ads,Desktop,6,0,0
01/02/2024,1396385049,Organic Search,Desktop,10,0,0
01/04/2024,3954012886,Organic Search,Mobile,13,0,0
01/06/2024,1011145553,Organic Search,Desktop,22,0,0
01/07/2024,1362997767,Paid Ads,Mobile,16,0,0
01/02/2024,5235941556,Direct,Desktop,17,0,0
01/05/2024,8558950939,Paid Ads,Desktop,6,0,0
01/03/2024,5929501883,Paid Ads,Mobile,85,1,0
01/01/2024,9720811515,Paid Ads,Desktop,7,0,1
01/01/2024,6816015653,Organic Search,Mobile,84,1,0
01/04/2024,1782903324,Organic Search,Desktop,91,1,1
01/02/2024,4610821905,Paid Ads,Mobile,81,1,0
01/07/2024,7594216061,Organic Search,Mobile,29,0,0
01/04/2024,3059789458,Paid Ads,Desktop,9,0,0
01/03/2024,3424330987,Organic Search,Mobile,28,0,0
01/04/2024,9158923444,Paid Ads,Desktop,101,1,0
01/06/2024,6344456122,Organic Search,Mobile,13,0,0
01/01/2024,5010175864,Paid Ads,Desktop,15,0,0
01/01/2024,6262764309,Direct,Desktop,23,0,0
01/05/2024,9967409086,Paid Ads,Mobile,25,0,0
01/05/2024,9828964504,Paid Ads,Mobile,90,1,1
01/07/2024,9668285471,Paid Ads,Mobile,14,0,0
01/03/2024,9482848885,Direct,Mobile,11,0,0
01/06/2024,4085750466,Direct,Mobile,89,1,0
01/02/2024,8348484931,Paid Ads,Desktop,86,1,0
01/04/2024,3275645580,Organic Search,Desktop,14,0,0
01/07/2024,3173699965,Direct,Desktop,17,0,0
01/03/2024,7246033400,Organic Search,Desktop,22,0,1
01/05/2024,3940212392,Organic Search,Desktop,15,0,0
01/04/2024,1596247870,Paid Ads,Desktop,91,1,1
01/05/2024,1501205769,Paid Ads,Mobile,98,1,0
01/04/2024,4653846597,Direct,Desktop,19,0,0
01/02/2024,9301905780,Direct,Desktop,28,0,0
01/03/2024,5501532219,Organic Search,Mobile,81,1,0
01/04/2024,8728953148,Paid Ads,Mobile,83,1,1
01/06/2024,1800603300,Paid Ads,Mobile,18,0,0
01/07/2024,9194222653,Organic Search,Mobile,17,0,0
01/01/2024,3933385618,Direct,Desktop,86,1,0
01/06/2024,7613309280,Direct,Mobile,2,0,0
01/06/2024,2681402863,Direct,Mobile,1,0,0
01/07/2024,6724400194,Organic Search,Desktop,18,0,0
01/01/2024,8526514104,Paid Ads,Mobile,14,0,1
01/06/2024,4343941019,Paid Ads,Mobile,76,1,0
01/04/2024,8361849154,Direct,Mobile,10,0,0
01/04/2024,1442020982,Organic Search,Desktop,81,1,0
01/04/2024,3318683783,Paid Ads,Desktop,85,1,0
01/01/2024,5347379098,Paid Ads,Mobile,16,0,0
01/06/2024,6766097768,Organic Search,Desktop,14,0,0
01/01/2024,7936158570,Paid Ads,Mobile,24,0,0
01/04/2024,5727876817,Paid Ads,Desktop,98,1,0
01/07/2024,8607446513,Organic Search,Desktop,15,0,0
01/06/2024,5627058738,Organic Search,Desktop,9,0,0
01/06/2024,9206334731,Organic Search,Mobile,22,0,0
01/05/2024,1710905178,Paid Ads,Desktop,13,0,0
01/05/2024,8891962838,Organic Search,Desktop,19,0,0
01/02/2024,2629105582,Paid Ads,Mobile,11,0,0
01/03/2024,1882958537,Paid Ads,Desktop,9,0,0
01/05/2024,1490774306,Organic Search,Mobile,92,1,0
01/01/2024,7295134087,Organic Search,Desktop,91,1,0
01/05/2024,9239700314,Direct,Mobile,98,1,1
01/02/2024,9731009979,Organic Search,Desktop,15,0,0
01/06/2024,4352203549,Organic Search,Mobile,15,0,0
01/02/2024,3212654128,Paid Ads,Mobile,18,0,0
01/06/2024,8991353685,Paid Ads,Mobile,12,0,0
01/07/2024,2286754630,Paid Ads,Mobile,88,1,0
01/07/2024,2706468317,Paid Ads,Mobile,1,0,0
01/06/2024,2622320605,Direct,Mobile,11,0,0
01/03/2024,6557879553,Paid Ads,Mobile,93,1,0
01/05/2024,7590437878,Direct,Mobile,88,1,0
01/01/2024,8582147506,Organic Search,Mobile,21,0,0
01/01/2024,1324284471,Direct,Desktop,12,0,0
01/04/2024,7556604578,Organic Search,Mobile,13,0,0
01/06/2024,2752280071,Organic Search,Desktop,92,1,1
01/01/2024,3555715912,Organic Search,Desktop,22,0,0
01/03/2024,3391101020,Paid Ads,Desktop,84,1,0
01/06/2024,7885680415,Organic Search,Mobile,9,0,0
01/03/2024,2745441677,Paid Ads,Desktop,2,0,0
01/01/2024,9206067585,Paid Ads,Mobile,13,0,1
01/01/2024,6854294723,Organic Search,Mobile,11,0,0
01/04/2024,2482588965,Paid Ads,Mobile,7,0,0
01/08/2024,6853000585,Direct,Desktop,13,0,0
01/13/2024,8644005740,Direct,Mobile,18,0,0
01/14/2024,7318178006,Direct,Mobile,14,0,1
01/13/2024,8480488456,Paid Ads,Desktop,17,0,0
01/13/2024,8065453846,Paid Ads,Desktop,29,0,0
01/11/2024,3968775266,Direct,Mobile,65,1,0
01/11/2024,4500632106,Organic Search,Mobile,12,0,1
01/08/2024,2740527268,Direct,Desktop,17,0,0
01/09/2024,8388213836,Direct,Mobile,10,0,0
01/09/2024,2132513306,Direct,Mobile,88,1,0
01/11/2024,8439676122,Paid Ads,Mobile,104,1,1
01/08/2024,4599642001,Paid Ads,Desktop,8,0,0
01/09/2024,7107598382,Direct,Desktop,10,0,0
01/08/2024,5588097564,Paid Ads,Desktop,99,1,0
01/08/2024,4098960059,Paid Ads,Desktop,11,0,0
01/08/2024,5874793365,Organic Search,Mobile,17,0,0
01/12/2024,2159259898,Direct,Mobile,33,0,1
01/13/2024,1664311787,Organic Search,Mobile,99,1,0
01/08/2024,7331801025,Organic Search,Mobile,102,1,0
01/12/2024,2509853479,Paid Ads,Mobile,9,0,0
01/11/2024,4027632189,Organic Search,Desktop,11,0,0
01/09/2024,9916066083,Direct,Desktop,14,0,0
01/13/2024,1010047596,Paid Ads,Desktop,18,0,0
01/14/2024,5737751563,Organic Search,Mobile,90,1,0
01/09/2024,8260900921,Direct,Desktop,17,0,0
01/13/2024,9410279503,Organic Search,Desktop,25,0,0
01/14/2024,8031856080,Organic Search,Mobile,91,1,0
01/09/2024,4879918033,Organic Search,Desktop,1,0,0
01/13/2024,5516569576,Paid Ads,Mobile,1,0,0
01/09/2024,9779623712,Paid Ads,Mobile,11,0,0
01/09/2024,3032421974,Direct,Mobile,83,1,0
01/14/2024,5812607822,Direct,Mobile,23,0,0
01/09/2024,1827206515,Direct,Mobile,2,0,1
01/09/2024,8494995167,Direct,Desktop,86,1,0
01/14/2024,7538806715,Organic Search,Desktop,96,1,0
01/11/2024,3792447502,Organic Search,Desktop,1,0,0
01/08/2024,3277471402,Direct,Desktop,19,0,0
01/10/2024,3841787349,Organic Search,Mobile,102,1,0
01/12/2024,7529072289,Organic Search,Desktop,16,0,0
01/10/2024,7088142274,Direct,Mobile,6,0,0
01/10/2024,5295987450,Direct,Mobile,7,0,1
01/13/2024,9890709883,Paid Ads,Mobile,7,0,0
01/08/2024,5675258352,Paid Ads,Mobile,15,0,0
01/13/2024,3060645099,Paid Ads,Mobile,9,0,0
01/08/2024,5688812957,Organic Search,Mobile,88,1,0
01/14/2024,4145083457,Paid Ads,Mobile,18,0,0
01/14/2024,6570584952,Organic Search,Desktop,1,0,0
01/08/2024,7825169188,Organic Search,Mobile,8,0,1
01/09/2024,4909876661,Paid Ads,Mobile,85,1,0
01/11/2024,1470159758,Organic Search,Mobile,90,1,1
01/09/2024,8722305316,Paid Ads,Desktop,5,0,0
01/11/2024,9514044711,Paid Ads,Mobile,12,0,0
01/13/2024,5248516833,Direct,Mobile,10,0,0
01/11/2024,4567582450,Paid Ads,Mobile,96,1,1
01/13/2024,5496596075,Paid Ads,Mobile,21,0,0
01/14/2024,5452729769,Organic Search,Mobile,75,1,0
01/10/2024,8734246916,Direct,Mobile,1,0,1
01/14/2024,3225911305,Paid Ads,Mobile,67,1,0
01/14/2024,2117693819,Organic Search,Mobile,15,0,0
01/10/2024,7404596562,Paid Ads,Mobile,19,0,0
01/11/2024,7970462989,Paid Ads,Desktop,29,0,0
01/11/2024,4843658308,Organic Search,Mobile,11,0,0
01/13/2024,7259623178,Organic Search,Mobile,84,1,0
01/09/2024,1190596290,Organic Search,Mobile,17,0,0
01/13/2024,2413264846,Organic Search,Desktop,1,0,0
01/09/2024,9611762213,Direct,Mobile,77,1,0
01/14/2024,7582477714,Organic Search,Mobile,1,0,0
01/10/2024,4841762076,Paid Ads,Desktop,21,0,0
01/14/2024,1264213617,Direct,Mobile,14,0,0
01/08/2024,7748763459,Paid Ads,Mobile,84,1,1
01/11/2024,4152119073,Organic Search,Mobile,24,0,0
01/09/2024,1675772986,Paid Ads,Desktop,4,0,0
01/13/2024,4994707637,Paid Ads,Mobile,19,0,0
01/10/2024,6107667644,Direct,Desktop,29,0,1
01/09/2024,9612032938,Direct,Desktop,18,0,0
01/13/2024,9197809703,Organic Search,Mobile,17,0,0
01/11/2024,8544693324,Organic Search,Mobile,15,0,0
01/14/2024,6696988826,Paid Ads,Mobile,88,1,0
01/11/2024,1497545576,Paid Ads,Mobile,85,1,0
01/12/2024,5374113735,Paid Ads,Mobile,2,0,0
01/08/2024,8532079140,Organic Search,Desktop,25,0,0
01/12/2024,9363580739,Organic Search,Desktop,10,0,0
01/10/2024,8338260881,Organic Search,Desktop,19,0,0
01/09/2024,1248766486,Paid Ads,Mobile,2,0,0
01/10/2024,9547622157,Direct,Desktop,5,0,0
01/14/2024,2647602124,Organic Search,Desktop,26,0,0
01/13/2024,6891980143,Organic Search,Desktop,12,0,0
01/11/2024,5977602018,Organic Search,Mobile,26,0,0
01/12/2024,5055753219,Organic Search,Desktop,14,0,0
01/12/2024,4668803048,Paid Ads,Mobile,1,0,0
01/14/2024,8614215855,Paid Ads,Mobile,22,0,0
01/12/2024,5859047371,Direct,Mobile,10,0,0
01/14/2024,4906378031,Paid Ads,Desktop,104,1,0
01/10/2024,2899658692,Paid Ads,Desktop,93,1,0
01/11/2024,1860535970,Paid Ads,Mobile,20,0,0
01/09/2024,6169857496,Paid Ads,Mobile,15,0,0
01/13/2024,1659956232,Direct,Mobile,2,0,0
01/09/2024,4916305944,Organic Search,Mobile,16,0,0
01/10/2024,1005290718,Organic Search,Mobile,93,1,0
01/13/2024,3608361342,Paid Ads,Mobile,96,1,0
01/12/2024,1690740156,Organic Search,Desktop,32,0,0
01/08/2024,3535164289,Organic Search,Mobile,18,0,0
01/10/2024,8217506270,Paid Ads,Mobile,14,0,0
01/10/2024,4251544793,Organic Search,Mobile,78,1,0
01/11/2024,9194018729,Paid Ads,Desktop,23,0,0
01/09/2024,1441489995,Organic Search,Desktop,16,0,0
01/10/2024,6198411868,Organic Search,Desktop,16,0,0
01/10/2024,7589520096,Paid Ads,Mobile,100,1,0
01/12/2024,1354371485,Paid Ads,Mobile,6,0,0
01/12/2024,6678353511,Organic Search,Mobile,89,1,0
01/13/2024,8272212602,Organic Search,Desktop,16,0,0
01/14/2024,5471849066,Direct,Desktop,23,0,1
01/14/2024,7849513481,Organic Search,Desktop,8,0,0
01/08/2024,9311628492,Paid Ads,Desktop,26,0,0
01/14/2024,8659742292,Paid Ads,Desktop,14,0,0
01/11/2024,8661502486,Organic Search,Mobile,96,1,0
01/08/2024,9764972158,Paid Ads,Desktop,79,1,0
01/13/2024,7178770958,Organic Search,Mobile,7,0,0
01/12/2024,3058487320,Direct,Mobile,22,0,0
01/14/2024,6708086419,Organic Search,Mobile,12,0,0
01/09/2024,5384565190,Paid Ads,Mobile,74,1,0
01/12/2024,6722247716,Organic Search,Mobile,21,0,0
01/11/2024,9940088220,Organic Search,Mobile,98,1,0
01/12/2024,2797013429,Organic Search,Mobile,12,0,0
01/11/2024,9421488340,Direct,Mobile,14,0,0
01/11/2024,3207595442,Paid Ads,Mobile,18,0,0
01/11/2024,7862170447,Direct,Mobile,17,0,0
01/13/2024,8108210983,Direct,Mobile,1,0,0
01/11/2024,6837509244,Paid Ads,Mobile,6,0,0
01/11/2024,7496632833,Paid Ads,Desktop,22,0,0
01/09/2024,2877611049,Paid Ads,Desktop,13,0,1
01/08/2024,3845936724,Paid Ads,Desktop,10,0,0
01/10/2024,8095815312,Paid Ads,Desktop,4,0,0
01/08/2024,8979990178,Organic Search,Mobile,93,1,0
01/11/2024,2018026903,Paid Ads,Desktop,6,0,0
01/09/2024,7222452317,Paid Ads,Mobile,1,0,1
01/12/2024,5920986984,Direct,Mobile,80,1,0
01/09/2024,2084598584,Paid Ads,Desktop,14,0,0
01/11/2024,2532152494,Direct,Mobile,81,1,1
01/09/2024,4357763888,Paid Ads,Desktop,10,0,0
01/14/2024,1146835348,Paid Ads,Desktop,7,0,0
01/09/2024,5823122888,Organic Search,Desktop,14,0,0
01/11/2024,6068106212,Organic Search,Desktop,17,0,0
01/13/2024,1443708576,Direct,Mobile,31,0,0
01/14/2024,8250797580,Organic Search,Mobile,2,0,0
01/09/2024,3061142258,Direct,Mobile,24,0,0
01/10/2024,6682802905,Paid Ads,Mobile,22,0,0
01/10/2024,3491563047,Paid Ads,Desktop,8,0,0
01/09/2024,1616509748,Direct,Desktop,16,0,0
01/13/2024,6103920468,Direct,Desktop,11,0,0
01/12/2024,5137543151,Direct,Mobile,16,0,0
01/11/2024,8136656577,Organic Search,Mobile,27,0,0
01/10/2024,5370197918,Paid Ads,Mobile,19,0,0
01/12/2024,4568590362,Direct,Mobile,19,0,0
01/09/2024,3579598336,Paid Ads,Desktop,11,0,0
01/12/2024,3478991721,Direct,Mobile,101,1,0
01/14/2024,7893224640,Direct,Mobile,3,0,0
01/08/2024,4721325729,Organic Search,Mobile,78,1,0
01/10/2024,1388615924,Direct,Desktop,13,0,0
01/09/2024,1468622282,Direct,Desktop,106,1,0
01/11/2024,9270710404,Paid Ads,Mobile,80,1,0
01/13/2024,9166346210,Direct,Mobile,24,0,0
01/14/2024,2362345239,Organic Search,Mobile,96,1,0
01/09/2024,2410386644,Direct,Mobile,2,0,0
01/11/2024,3561885600,Paid Ads,Desktop,6,0,0
01/13/2024,2908767011,Direct,Desktop,16,0,0
01/13/2024,8054810062,Paid Ads,Mobile,7,0,0
01/09/2024,7444363529,Paid Ads,Mobile,8,0,0
01/14/2024,9221583259,Direct,Desktop,11,0,0
01/12/2024,5762768025,Paid Ads,Mobile,4,0,0
01/12/2024,2056861135,Paid Ads,Desktop,7,0,0
01/13/2024,8367977323,Direct,Mobile,86,1,0
01/12/2024,9896081012,Direct,Mobile,20,0,0
01/08/2024,3058076301,Organic Search,Mobile,4,0,0
01/13/2024,6009356109,Organic Search,Mobile,2,0,0
01/13/2024,7012547074,Organic Search,Desktop,9,0,0
01/11/2024,3244039006,Paid Ads,Mobile,20,0,0
01/12/2024,1792787103,Paid Ads,Mobile,13,0,0
01/14/2024,9236684215,Organic Search,Mobile,96,1,0
01/13/2024,5777310767,Direct,Mobile,11,0,0
01/14/2024,7507627797,Direct,Mobile,15,0,0
01/08/2024,4409103897,Direct,Mobile,1,0,1
01/11/2024,6045613528,Paid Ads,Desktop,18,0,1
01/09/2024,4890772650,Organic Search,Mobile,84,1,1
01/14/2024,2297339972,Paid Ads,Mobile,18,0,0
01/13/2024,8771872089,Organic Search,Desktop,11,0,0
01/08/2024,2820829111,Organic Search,Mobile,23,0,0
01/10/2024,7326022816,Direct,Desktop,5,0,0
01/08/2024,6398275017,Paid Ads,Mobile,24,0,0
01/08/2024,1251060665,Paid Ads,Desktop,16,0,0
01/11/2024,6474108735,Paid Ads,Desktop,12,0,0
01/09/2024,7209624700,Direct,Desktop,14,0,0
01/10/2024,6743346790,Organic Search,Desktop,14,0,0
01/12/2024,6432684579,Paid Ads,Mobile,24,0,0
01/12/2024,3650663910,Paid Ads,Desktop,6,0,1
01/14/2024,8170888635,Organic Search,Mobile,88,1,0
01/08/2024,2164569352,Paid Ads,Mobile,8,0,0
01/11/2024,8216111683,Direct,Mobile,23,0,0
01/11/2024,2962192954,Organic Search,Mobile,90,1,1
01/12/2024,6853801062,Paid Ads,Mobile,10,0,0
01/14/2024,7212036055,Paid Ads,Mobile,22,0,0
01/14/2024,3727132636,Direct,Mobile,28,0,0
01/14/2024,7110403229,Paid Ads,Desktop,11,0,0
01/10/2024,2292154255,Paid Ads,Desktop,20,0,0
01/09/2024,4166164947,Direct,Mobile,5,0,1
01/10/2024,1399127636,Direct,Mobile,21,0,0
01/13/2024,8678980551,Direct,Mobile,16,0,0
01/13/2024,5979172852,Direct,Mobile,79,1,0
01/09/2024,5800266019,Paid Ads,Mobile,18,0,0
01/12/2024,6762448109,Paid Ads,Mobile,9,0,0
01/09/2024,2487440641,Direct,Mobile,1,0,0
01/11/2024,7728389947,Organic Search,Desktop,19,0,0
01/13/2024,7447403020,Organic Search,Mobile,1,0,0
01/08/2024,7991992237,Direct,Mobile,12,0,0
01/08/2024,5901751874,Paid Ads,Mobile,22,0,0
01/12/2024,1098328227,Organic Search,Mobile,16,0,0
01/11/2024,6255383971,Paid Ads,Mobile,30,0,0
01/10/2024,3470307777,Organic Search,Desktop,23,0,0
01/11/2024,6642417441,Paid Ads,Mobile,9,0,0
01/08/2024,9152971600,Paid Ads,Mobile,15,0,0
01/08/2024,2363787187,Paid Ads,Desktop,14,0,0
01/13/2024,3861766284,Organic Search,Desktop,2,0,0
01/11/2024,7468682691,Organic Search,Desktop,7,0,0
01/11/2024,5022018591,Organic Search,Mobile,10,0,0
01/08/2024,6487905757,Direct,Desktop,1,0,0
01/10/2024,1075968555,Paid Ads,Mobile,15,0,1
01/12/2024,6204449625,Paid Ads,Mobile,13,0,1
01/14/2024,3660722590,Direct,Mobile,97,1,0
01/12/2024,9910467220,Paid Ads,Mobile,1,0,0
01/11/2024,6434797549,Direct,Mobile,84,1,1
01/12/2024,8104201471,Paid Ads,Mobile,18,0,0
01/08/2024,6054691782,Direct,Desktop,87,1,0
01/08/2024,9434552453,Paid Ads,Desktop,20,0,0
01/11/2024,5869649982,Direct,Desktop,16,0,0
01/11/2024,8219731927,Organic Search,Mobile,12,0,0
01/14/2024,2389423628,Direct,Desktop,19,0,0
01/14/2024,7997785068,Paid Ads,Mobile,80,1,0
01/13/2024,5572493796,Organic Search,Desktop,64,1,1
01/11/2024,5841286141,Direct,Mobile,20,0,0
01/10/2024,6980285482,Organic Search,Desktop,17,0,0
01/12/2024,1571853424,Organic Search,Mobile,88,1,0
